recorded_at,event_date,house,wait_minutes,status
2026-09-06T19:51:47-04:00,2026-09-06,Ozzy Osbourne,150,Open
2026-09-06T19:51:47-04:00,2026-09-06,Sinners,90,Open
2026-09-06T19:51:47-04:00,2026-09-06,Stranger Things 5,50,Open
2026-09-06T20:01:45-04:00,2026-09-06,Cybergoria,75,Open
2026-09-06T20:01:45-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T20:01:45-04:00,2026-09-06,H.R. Bloodengutz,100,Open
2026-09-06T20:01:45-04:00,2026-09-06,Hellraiser,70,Open
2026-09-06T20:01:45-04:00,2026-09-06,INVASION,45,Open
2026-09-06T20:01:45-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T20:01:45-04:00,2026-09-06,MADLANDS,120,Open
2026-09-06T20:01:45-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T20:01:45-04:00,2026-09-06,Sinners,0,Closed
2026-09-06T20:01:45-04:00,2026-09-06,Stranger Things 5,50,Open
2026-09-06T20:30:50-04:00,2026-09-06,Cybergoria,80,Open
2026-09-06T20:30:50-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T20:30:50-04:00,2026-09-06,H.R. Bloodengutz,110,Open
2026-09-06T20:30:50-04:00,2026-09-06,Hellraiser,100,Open
2026-09-06T20:30:50-04:00,2026-09-06,INVASION,70,Open
2026-09-06T20:30:50-04:00,2026-09-06,Jack & Oddfellow,55,Open
2026-09-06T20:30:50-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T20:30:50-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T20:30:50-04:00,2026-09-06,Sinners,0,Closed
2026-09-06T20:30:50-04:00,2026-09-06,Stranger Things 5,60,Open
2026-09-06T20:50:42-04:00,2026-09-06,Cybergoria,100,Open
2026-09-06T20:50:42-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T20:50:42-04:00,2026-09-06,H.R. Bloodengutz,110,Open
2026-09-06T20:50:42-04:00,2026-09-06,Hellraiser,75,Open
2026-09-06T20:50:42-04:00,2026-09-06,INVASION,70,Open
2026-09-06T20:50:42-04:00,2026-09-06,Jack & Oddfellow,80,Open
2026-09-06T20:50:42-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T20:50:42-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T20:50:42-04:00,2026-09-06,Sinners,75,Open
2026-09-06T20:50:42-04:00,2026-09-06,Stranger Things 5,95,Open
2026-09-06T21:01:56-04:00,2026-09-06,Cybergoria,150,Open
2026-09-06T21:01:56-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T21:01:56-04:00,2026-09-06,H.R. Bloodengutz,90,Open
2026-09-06T21:01:56-04:00,2026-09-06,Hellraiser,40,Open
2026-09-06T21:01:56-04:00,2026-09-06,INVASION,75,Open
2026-09-06T21:01:56-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:01:56-04:00,2026-09-06,MADLANDS,45,Open
2026-09-06T21:01:56-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T21:01:56-04:00,2026-09-06,Sinners,75,Open
2026-09-06T21:01:56-04:00,2026-09-06,Stranger Things 5,95,Open
2026-09-06T21:09:46-04:00,2026-09-06,Cybergoria,150,Open
2026-09-06T21:09:46-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T21:09:46-04:00,2026-09-06,H.R. Bloodengutz,90,Open
2026-09-06T21:09:46-04:00,2026-09-06,Hellraiser,40,Open
2026-09-06T21:09:46-04:00,2026-09-06,INVASION,75,Open
2026-09-06T21:09:46-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:09:46-04:00,2026-09-06,MADLANDS,45,Open
2026-09-06T21:09:46-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T21:09:46-04:00,2026-09-06,Sinners,75,Open
2026-09-06T21:09:46-04:00,2026-09-06,Stranger Things 5,95,Open
2026-09-06T21:17:05-04:00,2026-09-06,Cybergoria,140,Open
2026-09-06T21:17:05-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T21:17:05-04:00,2026-09-06,H.R. Bloodengutz,45,Open
2026-09-06T21:17:05-04:00,2026-09-06,Hellraiser,50,Open
2026-09-06T21:17:05-04:00,2026-09-06,INVASION,65,Open
2026-09-06T21:17:05-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:17:05-04:00,2026-09-06,MADLANDS,75,Open
2026-09-06T21:17:05-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T21:17:05-04:00,2026-09-06,Sinners,75,Open
2026-09-06T21:17:05-04:00,2026-09-06,Stranger Things 5,95,Open
2026-09-06T21:23:03-04:00,2026-09-06,Cybergoria,125,Open
2026-09-06T21:23:03-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T21:23:03-04:00,2026-09-06,H.R. Bloodengutz,55,Open
2026-09-06T21:23:03-04:00,2026-09-06,Hellraiser,70,Open
2026-09-06T21:23:03-04:00,2026-09-06,INVASION,60,Open
2026-09-06T21:23:03-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:23:03-04:00,2026-09-06,MADLANDS,75,Open
2026-09-06T21:23:03-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T21:23:03-04:00,2026-09-06,Sinners,75,Open
2026-09-06T21:23:03-04:00,2026-09-06,Stranger Things 5,95,Open
2026-09-06T21:35:08-04:00,2026-09-06,Cybergoria,105,Open
2026-09-06T21:35:08-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T21:35:08-04:00,2026-09-06,H.R. Bloodengutz,85,Open
2026-09-06T21:35:08-04:00,2026-09-06,Hellraiser,70,Open
2026-09-06T21:35:08-04:00,2026-09-06,INVASION,60,Open
2026-09-06T21:35:08-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:35:08-04:00,2026-09-06,MADLANDS,75,Open
2026-09-06T21:35:08-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T21:35:08-04:00,2026-09-06,Sinners,75,Open
2026-09-06T21:35:08-04:00,2026-09-06,Stranger Things 5,60,Open
2026-09-06T21:47:23-04:00,2026-09-06,Cybergoria,65,Open
2026-09-06T21:47:23-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T21:47:23-04:00,2026-09-06,H.R. Bloodengutz,85,Open
2026-09-06T21:47:23-04:00,2026-09-06,Hellraiser,90,Open
2026-09-06T21:47:23-04:00,2026-09-06,INVASION,55,Open
2026-09-06T21:47:23-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:47:23-04:00,2026-09-06,MADLANDS,130,Open
2026-09-06T21:47:23-04:00,2026-09-06,Ozzy Osbourne,90,Open
2026-09-06T21:47:23-04:00,2026-09-06,Sinners,65,Open
2026-09-06T21:47:23-04:00,2026-09-06,Stranger Things 5,65,Open
2026-09-06T21:57:44-04:00,2026-09-06,Cybergoria,75,Open
2026-09-06T21:57:44-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T21:57:44-04:00,2026-09-06,H.R. Bloodengutz,75,Open
2026-09-06T21:57:44-04:00,2026-09-06,Hellraiser,100,Open
2026-09-06T21:57:44-04:00,2026-09-06,INVASION,55,Open
2026-09-06T21:57:44-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T21:57:44-04:00,2026-09-06,MADLANDS,130,Open
2026-09-06T21:57:44-04:00,2026-09-06,Ozzy Osbourne,90,Open
2026-09-06T21:57:44-04:00,2026-09-06,Sinners,55,Open
2026-09-06T21:57:44-04:00,2026-09-06,Stranger Things 5,55,Open
2026-09-06T22:12:39-04:00,2026-09-06,Cybergoria,75,Open
2026-09-06T22:12:39-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T22:12:39-04:00,2026-09-06,H.R. Bloodengutz,110,Open
2026-09-06T22:12:39-04:00,2026-09-06,Hellraiser,100,Open
2026-09-06T22:12:39-04:00,2026-09-06,INVASION,70,Open
2026-09-06T22:12:39-04:00,2026-09-06,Jack & Oddfellow,65,Open
2026-09-06T22:12:39-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T22:12:39-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T22:12:39-04:00,2026-09-06,Sinners,150,Open
2026-09-06T22:12:39-04:00,2026-09-06,Stranger Things 5,45,Open
2026-09-06T22:27:55-04:00,2026-09-06,Cybergoria,75,Open
2026-09-06T22:27:55-04:00,2026-09-06,Evil Dead Burn,50,Open
2026-09-06T22:27:55-04:00,2026-09-06,H.R. Bloodengutz,120,Open
2026-09-06T22:27:55-04:00,2026-09-06,Hellraiser,80,Open
2026-09-06T22:27:55-04:00,2026-09-06,INVASION,70,Open
2026-09-06T22:27:55-04:00,2026-09-06,Jack & Oddfellow,65,Open
2026-09-06T22:27:55-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T22:27:55-04:00,2026-09-06,Ozzy Osbourne,100,Open
2026-09-06T22:27:55-04:00,2026-09-06,Sinners,170,Open
2026-09-06T22:27:55-04:00,2026-09-06,Stranger Things 5,55,Open
2026-09-06T22:41:55-04:00,2026-09-06,Cybergoria,95,Open
2026-09-06T22:41:55-04:00,2026-09-06,Evil Dead Burn,65,Open
2026-09-06T22:41:55-04:00,2026-09-06,H.R. Bloodengutz,120,Open
2026-09-06T22:41:55-04:00,2026-09-06,Hellraiser,80,Open
2026-09-06T22:41:55-04:00,2026-09-06,INVASION,60,Open
2026-09-06T22:41:55-04:00,2026-09-06,Jack & Oddfellow,65,Open
2026-09-06T22:41:55-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T22:41:55-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T22:41:55-04:00,2026-09-06,Sinners,170,Open
2026-09-06T22:41:55-04:00,2026-09-06,Stranger Things 5,55,Open
2026-09-06T22:53:09-04:00,2026-09-06,Cybergoria,95,Open
2026-09-06T22:53:09-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T22:53:09-04:00,2026-09-06,H.R. Bloodengutz,120,Open
2026-09-06T22:53:09-04:00,2026-09-06,Hellraiser,80,Open
2026-09-06T22:53:09-04:00,2026-09-06,INVASION,50,Open
2026-09-06T22:53:09-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T22:53:09-04:00,2026-09-06,MADLANDS,30,Open
2026-09-06T22:53:09-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T22:53:09-04:00,2026-09-06,Sinners,170,Open
2026-09-06T22:53:09-04:00,2026-09-06,Stranger Things 5,70,Open
2026-09-06T23:03:38-04:00,2026-09-06,Cybergoria,95,Open
2026-09-06T23:03:38-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T23:03:38-04:00,2026-09-06,H.R. Bloodengutz,80,Open
2026-09-06T23:03:38-04:00,2026-09-06,Hellraiser,60,Open
2026-09-06T23:03:38-04:00,2026-09-06,INVASION,50,Open
2026-09-06T23:03:38-04:00,2026-09-06,Jack & Oddfellow,75,Open
2026-09-06T23:03:38-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T23:03:38-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T23:03:38-04:00,2026-09-06,Sinners,160,Open
2026-09-06T23:03:38-04:00,2026-09-06,Stranger Things 5,75,Open
2026-09-06T23:21:34-04:00,2026-09-06,Cybergoria,80,Open
2026-09-06T23:21:34-04:00,2026-09-06,Evil Dead Burn,75,Open
2026-09-06T23:21:34-04:00,2026-09-06,H.R. Bloodengutz,70,Open
2026-09-06T23:21:34-04:00,2026-09-06,Hellraiser,60,Open
2026-09-06T23:21:34-04:00,2026-09-06,INVASION,75,Open
2026-09-06T23:21:34-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T23:21:34-04:00,2026-09-06,MADLANDS,60,Open
2026-09-06T23:21:34-04:00,2026-09-06,Ozzy Osbourne,80,Open
2026-09-06T23:21:34-04:00,2026-09-06,Sinners,120,Open
2026-09-06T23:21:34-04:00,2026-09-06,Stranger Things 5,80,Open
2026-09-06T23:35:46-04:00,2026-09-06,Cybergoria,55,Open
2026-09-06T23:35:46-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T23:35:46-04:00,2026-09-06,H.R. Bloodengutz,70,Open
2026-09-06T23:35:46-04:00,2026-09-06,Hellraiser,60,Open
2026-09-06T23:35:46-04:00,2026-09-06,INVASION,50,Open
2026-09-06T23:35:46-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T23:35:46-04:00,2026-09-06,MADLANDS,45,Open
2026-09-06T23:35:46-04:00,2026-09-06,Ozzy Osbourne,115,Open
2026-09-06T23:35:46-04:00,2026-09-06,Sinners,120,Open
2026-09-06T23:35:46-04:00,2026-09-06,Stranger Things 5,65,Open
2026-09-06T23:48:35-04:00,2026-09-06,Cybergoria,65,Open
2026-09-06T23:48:35-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T23:48:35-04:00,2026-09-06,H.R. Bloodengutz,60,Open
2026-09-06T23:48:35-04:00,2026-09-06,Hellraiser,60,Open
2026-09-06T23:48:35-04:00,2026-09-06,INVASION,50,Open
2026-09-06T23:48:35-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T23:48:35-04:00,2026-09-06,MADLANDS,45,Open
2026-09-06T23:48:35-04:00,2026-09-06,Ozzy Osbourne,115,Open
2026-09-06T23:48:35-04:00,2026-09-06,Sinners,90,Open
2026-09-06T23:48:35-04:00,2026-09-06,Stranger Things 5,45,Open
2026-09-06T23:58:12-04:00,2026-09-06,Cybergoria,80,Open
2026-09-06T23:58:12-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T23:58:12-04:00,2026-09-06,H.R. Bloodengutz,60,Open
2026-09-06T23:58:12-04:00,2026-09-06,Hellraiser,60,Open
2026-09-06T23:58:12-04:00,2026-09-06,INVASION,50,Open
2026-09-06T23:58:12-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T23:58:12-04:00,2026-09-06,MADLANDS,45,Open
2026-09-06T23:58:12-04:00,2026-09-06,Ozzy Osbourne,115,Open
2026-09-06T23:58:12-04:00,2026-09-06,Sinners,90,Open
2026-09-06T23:58:12-04:00,2026-09-06,Stranger Things 5,45,Open
2026-09-09T14:07:46.468065-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Hellraiser,20,open
2026-09-09T14:07:46.468065-04:00,2026-09-09,INVASION,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Jack & Oddfellow,30,open
2026-09-09T14:07:46.468065-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Sinners,0,closed
2026-09-09T14:07:46.468065-04:00,2026-09-09,Stranger Things 5,60,open
2026-09-09T14:26:29.645646-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Hellraiser,20,open
2026-09-09T14:26:29.645646-04:00,2026-09-09,INVASION,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Jack & Oddfellow,30,open
2026-09-09T14:26:29.645646-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Sinners,0,closed
2026-09-09T14:26:29.645646-04:00,2026-09-09,Stranger Things 5,60,open
2026-09-09T14:42:13.319308-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Hellraiser,20,open
2026-09-09T14:42:13.319308-04:00,2026-09-09,INVASION,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Jack & Oddfellow,50,open
2026-09-09T14:42:13.319308-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Sinners,0,closed
2026-09-09T14:42:13.319308-04:00,2026-09-09,Stranger Things 5,60,open
2026-09-09T14:53:52.495948-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Hellraiser,20,open
2026-09-09T14:53:52.495948-04:00,2026-09-09,INVASION,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Jack & Oddfellow,50,open
2026-09-09T14:53:52.495948-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Sinners,0,closed
2026-09-09T14:53:52.495948-04:00,2026-09-09,Stranger Things 5,60,open
2026-09-09T15:04:25.485391-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Hellraiser,20,open
2026-09-09T15:04:25.485391-04:00,2026-09-09,INVASION,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Jack & Oddfellow,50,open
2026-09-09T15:04:25.485391-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Sinners,0,closed
2026-09-09T15:04:25.485391-04:00,2026-09-09,Stranger Things 5,60,open
2026-09-09T15:19:29.769097-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Hellraiser,40,open
2026-09-09T15:19:29.769097-04:00,2026-09-09,INVASION,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Jack & Oddfellow,45,open
2026-09-09T15:19:29.769097-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Sinners,0,closed
2026-09-09T15:19:29.769097-04:00,2026-09-09,Stranger Things 5,45,open
2026-09-09T15:31:03.030776-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Hellraiser,40,open
2026-09-09T15:31:03.030776-04:00,2026-09-09,INVASION,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Jack & Oddfellow,45,open
2026-09-09T15:31:03.030776-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Sinners,0,closed
2026-09-09T15:31:03.030776-04:00,2026-09-09,Stranger Things 5,45,open
2026-09-09T15:41:31.739024-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Hellraiser,40,open
2026-09-09T15:41:31.739024-04:00,2026-09-09,INVASION,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Jack & Oddfellow,45,open
2026-09-09T15:41:31.739024-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Sinners,0,closed
2026-09-09T15:41:31.739024-04:00,2026-09-09,Stranger Things 5,45,open
2026-09-09T15:50:38.244555-04:00,2026-09-09,Cybergoria,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Evil Dead Burn,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,H.R. Bloodengutz,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Hellraiser,40,open
2026-09-09T15:50:38.244555-04:00,2026-09-09,INVASION,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Jack & Oddfellow,45,open
2026-09-09T15:50:38.244555-04:00,2026-09-09,MADLANDS,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Ozzy Osbourne,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Sinners,0,closed
2026-09-09T15:50:38.244555-04:00,2026-09-09,Stranger Things 5,45,open
